"","City","Population","lat","lng"
"1","Casper",55316,42.85,-106.325
"2","Cheyenne",59466,41.14,-104.820278
"3","Cody",9520,44.523333,-109.057222
"4","Douglas",6120,42.756111,-105.384444
"5","Evanston",12359,41.263333,-110.964722
"6","Gillette",29087,44.282778,-105.505278
"7","Green-River",12515,41.528611,-109.466111
"8","Jackson",9577,43.475278,-110.769167
"9","Lander",7487,42.883056,-108.7325
"10","Laramie",30816,41.311111,-105.593611
"11","Powell",6314,44.758889,-108.758333
"12","Rawlins",9259,41.790278,-107.234167
"13","Riverton",10615,43.025,-108.38
"14","Rock-Springs",23036,41.590833,-109.2225
"15","Sheridan",17444,44.796667,-106.958889
"16","Torrington",6501,42.06667,-104.1825
"17","Worland",5487,44.016667,-107.958333
